route,label,declared_status,page_exists,e2e_specs,finding
/manufacturing/standard-cost,Standard Cost,AVAILABLE,yes,apps/web/e2e/manufacturing-insights.spec.ts,
/manufacturing/production-cost,Production Cost,AVAILABLE,yes,apps/web/e2e/manufacturing-insights.spec.ts,
/manufacturing/variance,Variance,AVAILABLE,yes,apps/web/e2e/manufacturing-insights.spec.ts,
/manufacturing/performance,Performance,AVAILABLE,yes,apps/web/e2e/manufacturing-insights.spec.ts,
/manufacturing/downtime,Downtime,AVAILABLE,yes,apps/web/e2e/manufacturing-execution.spec.ts,
/manufacturing/yield,Yield,AVAILABLE,yes,apps/web/e2e/manufacturing-insights.spec.ts,
/manufacturing/production-summary,Production Summary,AVAILABLE,yes,,
/manufacturing/reports,Reports,AVAILABLE,yes,apps/web/e2e/manufacturing-insights.spec.ts,
/projects,Home,AVAILABLE,yes,apps/web/e2e/projects-delivery.spec.ts,
/projects/all,All Projects,AVAILABLE,yes,apps/web/e2e/projects-delivery.spec.ts,
/projects/templates,Templates,AVAILABLE,yes,,
/projects/tasks,Tasks,AVAILABLE,yes,apps/web/e2e/projects-delivery.spec.ts,
/projects/milestones,Milestones,AVAILABLE,yes,,
/projects/workspace,"Workspace (WBS, Gantt, Board)",AVAILABLE,yes,apps/web/e2e/projects-delivery.spec.ts,
/projects/resource-allocation,Resource Allocation,AVAILABLE,yes,,
/projects/capacity,Capacity,AVAILABLE,yes,,
/projects/time,Time Entries,AVAILABLE,yes,apps/web/e2e/projects-delivery.spec.ts,
/projects/timesheets,Timesheets,AVAILABLE,yes,apps/web/e2e/projects-delivery.spec.ts,
/projects/expenses,Expenses,AVAILABLE,yes,,
/projects/materials,Materials,AVAILABLE,yes,,
/projects/budgets,Budgets,AVAILABLE,yes,,
/projects/procurement,Project Procurement,AVAILABLE,yes,,
/projects/billing,Billing,AVAILABLE,yes,,
/projects/invoices,Project Invoices,AVAILABLE,yes,,
/projects/risks,Risks,AVAILABLE,yes,,
/projects/issues,Issues,AVAILABLE,yes,,
/projects/documents,Documents,AVAILABLE,yes,,
/projects/reports,Reports,AVAILABLE,yes,apps/web/e2e/projects-delivery.spec.ts,
/projects/settings,Settings,AVAILABLE,yes,,
/assets,Home,AVAILABLE,yes,apps/web/e2e/assets-lifecycle.spec.ts,
/assets/register,Asset Register,AVAILABLE,yes,apps/web/e2e/assets-lifecycle.spec.ts,
/assets/categories,Asset Categories,AVAILABLE,yes,,
/assets/acquisition,Acquisition,AVAILABLE,yes,,
/assets/capitalization,Capitalization,AVAILABLE,yes,apps/web/e2e/assets-lifecycle.spec.ts,
/assets/assignments,Assignments,AVAILABLE,yes,,
/assets/transfers,Transfers,AVAILABLE,yes,,
/assets/locations,Locations,AVAILABLE,yes,,
/assets/depreciation,Depreciation,AVAILABLE,yes,apps/web/e2e/assets-lifecycle.spec.ts,
/assets/revaluation,Revaluation,AVAILABLE,yes,,
/assets/impairment,Impairment,AVAILABLE,yes,,
/assets/maintenance-plans,Maintenance Plans,AVAILABLE,yes,,
/assets/work-orders,Work Orders,AVAILABLE,yes,,
/assets/downtime,Downtime,AVAILABLE,yes,,
/assets/warranties,Warranties,AVAILABLE,yes,,
/assets/inspections,Inspections,AVAILABLE,yes,,
/assets/calibration,Calibration,AVAILABLE,yes,,
/assets/physical-verification,Physical Verification,AVAILABLE,yes,,
/assets/retirement,Retirement,AVAILABLE,yes,,
/assets/disposal,Disposal / Sale,AVAILABLE,yes,,
/assets/analytics,Asset Analytics,AVAILABLE,yes,,
/assets/reports,Reports,AVAILABLE,yes,apps/web/e2e/assets-lifecycle.spec.ts,
/assets/settings,Asset Settings,ADMIN_ONLY,yes,,
/pos,Home,AVAILABLE,yes,apps/web/e2e/billing-plans.spec.ts;apps/web/e2e/crm-public-booking.spec.ts;apps/web/e2e/manufacturing-execution.spec.ts;apps/web/e2e/manufacturing-insights.spec.ts;apps/web/e2e/manufacturing-planning.spec.ts;apps/web/e2e/manufacturing-production.spec.ts;apps/web/e2e/pos-accessibility.spec.ts;apps/web/e2e/pos-authorization.spec.ts;apps/web/e2e/pos-checkout-safety.spec.ts;apps/web/e2e/pos-checkout.spec.ts;apps/web/e2e/pos-discount-approval.spec.ts;apps/web/e2e/pos-hold-resume.spec.ts;apps/web/e2e/pos-offline-sync.spec.ts;apps/web/e2e/pos-returns.spec.ts;apps/web/e2e/pos-shifts-cash-and-safety.spec.ts;apps/web/e2e/pos-transactions.spec.ts;apps/web/e2e/pos-visual-qa.spec.ts;apps/web/e2e/procurement-planning-analytics.spec.ts;apps/web/e2e/procurement-receiving.spec.ts,
/pos/checkout,Open POS,AVAILABLE,yes,apps/web/e2e/pos-accessibility.spec.ts;apps/web/e2e/pos-authorization.spec.ts;apps/web/e2e/pos-checkout-safety.spec.ts;apps/web/e2e/pos-checkout.spec.ts;apps/web/e2e/pos-discount-approval.spec.ts;apps/web/e2e/pos-hold-resume.spec.ts;apps/web/e2e/pos-offline-sync.spec.ts;apps/web/e2e/pos-returns.spec.ts;apps/web/e2e/pos-transactions.spec.ts;apps/web/e2e/pos-visual-qa.spec.ts,
/pos/transactions,Transactions,AVAILABLE,yes,apps/web/e2e/pos-transactions.spec.ts,
/pos/stores,Stores,AVAILABLE,yes,apps/web/e2e/pos-accessibility.spec.ts;apps/web/e2e/pos-shifts-cash-and-safety.spec.ts;apps/web/e2e/pos-visual-qa.spec.ts,
/pos/terminals,Terminals,AVAILABLE,yes,apps/web/e2e/pos-accessibility.spec.ts;apps/web/e2e/pos-visual-qa.spec.ts,
